Base de dados,Número,Autor(es) e Ano,Título do Artigo
IEEE,56,"Santana, C. et al. (2011)",The Confidence of Agile Assessment Methods in the Context of Software Process Improvement
IEEE,57,"Rout, T.P. (2010)",The Evolving Picture of Standardisation and Certification for Process Assessment
IEEE,58,"Bekkers, W. et al. (2008)",The Influence of Situational Factors in Software Product Management: An Empirical Study
IEEE,59,"Keshta, I. et al. (2018)",Towards Implementation of Process and Product Quality Assurance Process Area for Saudi Arabian Small and Medium Sized Software Development Organizations
IEEE,60,"Yang, S. et al. (2021)",Trusted Electronic Systems with Untrusted COTS
IEEE,61,"Aymerich Fuentes, B. & Jenkins, M. (2022)",Use of CMMI-DEV 2.0 for continuous process improvement in an agile organization: a case study
IEEE,62,"El Emam, K. & Birk, A. (2000)",Validating the ISO/IEC 15504 measure of software requirements analysis process capability
CAPES,1,"Sandra L. Ramírez-Mora, Hanna Oktaba, Juana Patlán Pérez, (2019)","Group maturity, team efficiency, and team effectiveness in software development: A case study in a CMMI-DEV Level 5 organization"
CAPES,2,"Angela Tuffley, Bill Grove, G.W. McNair, (2004)",SPICE for small organisations
CAPES,3,"Il Keshta, Mahmood Niazi, Mohammad Alshayeb, (2017)",Towards Implementation of Requirements Management Specific Practices (SP1.3 and SP1.4) for Saudi Arabian Small and Medium Sized Software Development Organizations
CAPES,4,"Antoni-Lluís Mesquida, Antònia Mas, (2014)",Implementing information security best practices on software lifecycle processes: The ISO/IEC 15504 Security Extension
CAPES,5,"Shari S. C. Shang, Shu-Fang Lin, (2009)",Understanding the effectiveness of Capability Maturity Model Integration by examining the knowledge management of software development processes
CAPES,6,"G. Arauz, Miguel Morales, Hanna Oktaba, Elizabeth Ramírez, (2016)",Integrating Agile Methods into a Level 5 CMMI-DEV Organization: a Case Study
CAPES,7,"Özden Özcan-Top, Onur Demirörs, (2018)",Application of a software agility assessment model – AgilityMod in the field
CAPES,8,"Ismail Keshta, (2019)",A model for defining project lifecycle phases: Implementation of CMMI level 2 specific practice
CAPES,9,"Anggia Astridita, Teguh Raharjo, Anita Nur Fitriani, (2024)",Perceived Benefits and Challenges of Implementing CMMI on Agile Project Management: A Systematic Literature Review
CAPES,10,"Javier Garzás, Mark C. Paulk, (2013)",A case study of software process improvement with CMMI-DEV and Scrum in Spanish companies
CAPES,11,"M Sarshar, Richard Haigh, M. Finnemore, Ghassan Aouad, Peter Barrett, D Baldry, Martin Sexton, (2000)",SPICE: a business process diagnostics tool for construction projects
CAPES,12,"M Sarshar, Richard Haigh, M. Finnemore, Ghassan Aouad, Peter Barrett, D Baldry, Martin Sexton, (2000)",SPICE: a business process diagnostics tool for construction projects
